name,stars,price,price_per_person,rating,opinions,distance_from_centre,free_cancellation,breakfast,city,date,adults,children
Hans Brinker Hostel Amsterdam,0,123,24.6,7.8,10202,1100.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Via Amsterdam,3,304,60.8,8.1,17049,6600.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Hotel & bar Royal taste Amsterdam,0,395,79.0,7.9,1159,450.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Amsterdam ID Aparthotel,3,773,154.6,8.7,1816,4300.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Weber Hotel 117,2,846,169.2,7.9,487,1200.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Generator Amsterdam,3,7357,1471.4,7.8,5158,2200.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Gypsy Waggon - A villa on wheels,3,206,41.2,7.0,59,7200.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Aston City Hotel,2,936,187.2,4.9,926,1700.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Hotel King's Court,3,11146,2229.2,7.8,1427,4000.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Plantage Hortus Apartments,3,2787,557.4,7.3,433,1400.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Catalonia Vondel Amsterdam,4,591,118.2,8.4,131,1500.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Hotel Fine Harmony,3,591,118.2,7.9,1578,800.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Hotel Casa Amsterdam,3,761,152.2,8.8,10035,3100.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
OZO Hotels Arena Amsterdam,4,1193,238.6,7.4,8318,8400.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Boutique Apartments Amsterdam,4,718,143.6,8.9,2247,4200.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
The July - Boat & Co,4,989,197.8,9.2,2117,2500.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Park Inn by Radisson Amsterdam City West,4,850,170.0,8.0,19946,3900.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Grand Hotel Downtown,4,981,196.2,7.7,3679,1600.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
INNSiDE by Meliá Amsterdam,4,1023,204.6,8.6,6035,4000.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Melrose Hotel,3,806,161.2,7.7,2500,1000.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Hyatt Regency Amsterdam,5,1276,255.2,8.4,2871,1800.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Hotel Espresso,3,1377,275.4,7.4,1964,1600.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
Andaz Amsterdam Prinsengracht - a concept by Hyatt,5,1731,346.2,8.8,949,900.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
The Delphi - Amsterdam Townhouse,4,1706,341.2,8.5,1662,2700.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
SUPPER Hotel,4,2606,521.2,7.3,676,700.0,True,False,Amsterdam,2025-06-20 21:05:43.504194,5,0
